state,state_code,total_households,mean_income,gini_coefficient,theil_index,atkinson_05,atkinson_10,atkinson_15,palma_ratio,p90_p10_ratio,top_10_share,bottom_40_share
Alabama,01,1933150,78145.2292889843,0.4398403966093265,0.31862477150967927,0.16333530131389773,0.3310133715269481,0.4911791816536727,1.4931389943448,14.0,0.20748650676573122,0.13895994113848575
Alaska,02,264376,103894.53846037462,0.38619711800692325,0.2456638437735309,0.13061163078371985,0.27813742243748796,0.43911393290493916,0.0,11.11111111111111,0.0,0.1649838275420822
Arizona,04,2739136,90935.92924922312,0.4092695059399081,0.2752035651910185,0.14328127291517345,0.2976402634967682,0.4572367086204636,1.7286131196767127,10.0,0.2538190869532537,0.14683394685834808
Arkansas,05,1171694,74099.98045564798,0.43670947837041585,0.31501590593806567,0.1594704238600838,0.3199753583606437,0.4728843404879326,1.4612927102601958,14.0,0.19020990554839168,0.130165506344395
California,06,13315822,111702.12942918582,0.4009150940310774,0.26706215043576964,0.14385810594871018,0.30790648477843197,0.4819931644219041,0.0,14.285714285714286,0.0,0.14134172599103087
Colorado,08,2278044,105967.2003701421,0.39132134214082304,0.2520229984007166,0.13409029369554892,0.2850583442369792,0.4481160400933354,0.0,11.11111111111111,0.0,0.1614397856618042
Connecticut,09,1409807,109903.04701281806,0.40313207939002815,0.2693261744506492,0.1446262476263156,0.30827499017952786,0.480461109458336,0.0,14.285714285714286,0.0,0.14616572701987326
Delaware,10,389000,96728.39974293059,0.40004324733117613,0.2625809731947578,0.13809929273146426,0.28988001275135056,0.4498775182557665,0.0,14.285714285714286,0.0,0.19175840125323743
District of Columbia,11,315785,121096.36303180961,0.40540561512733353,0.2842443887933123,0.15921148708358002,0.35308693106431166,0.5577812312324917,0.0,20.0,0.0,0.18632191883900842
Florida,12,8353441,87173.6102523499,0.42200367558810914,0.29258401424245034,0.15093189509651628,0.30951587226662625,0.46815453577508803,1.5831512906204503,10.0,0.2567259683097056,0.16216136122347002
Georgia,13,3946490,90705.02142410091,0.42239891693387066,0.29306664794066273,0.15264233404455052,0.3156123802706048,0.47937171421535374,1.881141997070033,10.0,0.2752310928794838,0.14631064178470798
Hawaii,15,483906,111672.88171669704,0.3845929341489479,0.24546412876130577,0.13252129321885564,0.2865697047714706,0.45741493745567396,0.0,11.11111111111111,0.0,0.24055491962289766
Idaho,16,675323,86487.65849822974,0.39674982486745547,0.2588043879873352,0.13307337406950737,0.27361041873725633,0.4189245531477346,1.2881957998693176,10.0,0.20961490900807356,0.16271975815271106
Illinois,17,4968761,97645.19967855165,0.41569003988302744,0.284346874091124,0.15023595482509455,0.31528684659991946,0.4847983448010128,0.0,14.285714285714286,0.0,0.1847704963187972
Indiana,18,2653596,83484.17016003943,0.4098290623784162,0.27650049092249784,0.14270422140302697,0.29388006680631074,0.44807210513361573,1.1636492892704744,10.0,0.20023404160621294,0.17207421811063495
Iowa,19,1290139,86583.97467249652,0.40138085562664816,0.26479114913641183,0.13710702495699567,0.2834323537155998,0.4344227717229666,1.2881827289840555,10.0,0.20534376762798656,0.15940577606558504
Kansas,20,1148635,87476.02806809823,0.4095273496050278,0.2751969460986305,0.14224310985275002,0.29300943872903507,0.4467748666680176,1.4213055196741826,10.0,0.228077228128309,0.16047023315619924
Kentucky,21,1769102,77580.24692753724,0.4324893400482237,0.3084741932284565,0.1581895649262427,0.32150626705737617,0.47964298400633365,1.3987872231775473,14.0,0.19474143657543308,0.13922162952922157
Louisiana,22,1765264,77703.76130709061,0.4524235610164242,0.33715429776096145,0.1729822561192852,0.34925463720767735,0.513348103112159,1.8862421854271239,14.0,0.21949052456081075,0.11636391458984836
Maine,23,580172,85743.54243224423,0.41261265049118423,0.27911330832055425,0.14408771528689435,0.29563312374762263,0.44771504357079706,1.3143720879229568,10.0,0.21504743019300898,0.16361229226408694
