NAME,median_household_income,gini_index,mean_household_income,population_below_poverty,population_for_poverty_status,total_population,state,poverty_rate,income_per_capita,state_fips,state_abbr
Alabama,62027,0.4783,2.99,768185,4913932,5054253,01,15.632796709437574,1.4789524782396135e-06,01,AL
Alaska,89336,0.4333,3.72,72978,716703,733971,02,10.182460517117969,1.2670800344972757e-05,02,AK
Arizona,76872,0.4624,3.38,907125,7109159,7268175,04,12.75994811763248,1.1626027166379456e-06,04,AZ
Arkansas,58773,0.4807,3.16,471783,2944742,3032651,05,16.021199819882355,2.604981582120726e-06,05,AR
California,96334,0.4887,2.87,4610600,38529452,39242785,06,11.966430251849935,1.828361570158693e-07,06,CA
Colorado,92470,0.4576,3.45,534188,5693064,5810774,08,9.38313709454171,1.4843117285236011e-06,08,CO
Connecticut,93760,0.4984,2.8,351948,3510193,3598348,09,10.026457234687665,1.945337138042235e-06,09,CT
Delaware,82855,0.4495,3.62,105246,981264,1005872,10,10.725553979357237,8.997168625829133e-06,10,DE
District of Columbia,106287,0.5144,1.97,94140,647874,672079,11,14.530603172839163,7.3280075705385835e-06,11,DC
Florida,71711,0.4849,3.2,2707698,21459978,21928881,12,12.617431387860695,3.6481569670609276e-07,12,FL
Georgia,74664,0.4779,3.06,1423159,10560625,10822590,13,13.476086879327692,7.068548286500736e-07,13,GA
Hawaii,98317,0.4495,3.31,140461,1409460,1445635,15,9.965589658450755,5.724128151296835e-06,15,HI
Idaho,74636,0.4442,3.96,196060,1843325,1893296,16,10.636214449432412,5.228976346012456e-06,16,ID
Illinois,81702,0.4802,2.95,1454217,12410718,12692653,17,11.717428435647317,5.810447981206136e-07,17,IL
Indiana,70051,0.452,3.57,807582,6616834,6811752,18,12.204960861946967,1.3102356045845473e-06,18,IN
Iowa,73147,0.4447,3.75,340362,3096878,3195937,19,10.990487839688875,2.933412016569788e-06,19,IA
Kansas,72639,0.4555,3.59,328475,2850379,2937569,20,11.523906119151173,3.0552473831252982e-06,20,KS
Kentucky,62417,0.4776,3.03,707480,4382816,4510725,21,16.142133276870396,1.6793309279550405e-06,21,KY
Louisiana,60023,0.4944,2.66,848769,4494539,4621025,22,18.884450663349455,1.439074664170828e-06,22,LA
Maine,71773,0.4567,3.52,144263,1338071,1377400,23,10.781415933833108,6.38884855524902e-06,23,ME
Maryland,101652,0.456,3.22,564966,6042502,6170738,24,9.349868647126637,1.304544124219826e-06,24,MD
Massachusetts,101341,0.4877,2.67,676516,6777241,6992395,25,9.98217416202257,9.546085425666028e-07,25,MA
Michigan,71149,0.4639,3.31,1284470,9842260,10051595,26,13.050559525962532,8.232524290920993e-07,26,MI
Minnesota,87556,0.45,3.64,514300,5591806,5713716,27,9.197386318481007,1.5926587880811718e-06,27,MN
Mississippi,54915,0.484,2.88,543697,2851847,2951438,28,19.064732434804533,2.4394888186707633e-06,28,MS
Missouri,68920,0.4652,3.39,756528,5994199,6168181,29,12.621002405826031,1.3739869176990753e-06,29,MO
Montana,69922,0.4634,3.55,129998,1079200,1105072,30,12.045774647887324,8.031150911433825e-06,30,MT
Nebraska,74985,0.4556,3.61,197300,1916409,1965926,31,10.29529708950438,4.5907119596566706e-06,31,NE
Nevada,75561,0.4669,3.31,390414,3100449,3141000,32,12.592176165452166,2.6345113021330787e-06,32,NV
New Hampshire,95628,0.4414,3.72,96457,1347951,1387834,33,7.155823913480535,6.7010896115817894e-06,33,NH
New Jersey,101050,0.48,2.95,889287,9101339,9267014,34,9.770946890342179,7.958334799105732e-07,34,NJ
New Mexico,62125,0.4774,2.9,375381,2073857,2114768,35,18.100621209659103,3.4282720374055216e-06,35,NM
New York,84578,0.5152,2.44,2656674,19391750,19872319,36,13.700021916536672,3.0695964572629896e-07,36,NY
North Carolina,69904,0.476,3.23,1355827,10297193,10584340,37,13.166957247475114,7.629195585175835e-07,37,NC
North Dakota,75949,0.4551,3.49,79628,752523,779361,38,10.581470599569714,1.1195068780706245e-05,38,ND
Ohio,69680,0.4674,3.26,1519610,11478861,11780046,39,13.238334360874306,6.918478926143411e-07,39,OH
Oklahoma,63603,0.4675,3.3,593820,3872738,3995260,40,15.333337809064284,2.064946962150148e-06,40,OK
Oregon,80426,0.4621,3.32,494736,4159818,4238714,41,11.893212635745122,1.9581410776947912e-06,41,OR
Pennsylvania,76081,0.4737,3.17,1480981,12575248,12986518,42,11.776952629482935,6.102482590021436e-07,42,PA
Rhode Island,86372,0.4607,3.03,114890,1053498,1095371,44,10.905573622351444,6.915465171161185e-06,44,RI
South Carolina,66818,0.4773,3.11,719720,5072217,5212774,45,14.18945601105,1.4915283110297894e-06,45,SC
South Dakota,72421,0.447,3.76,104511,869964,899194,46,12.013255720926383,1.0453806408850592e-05,46,SD
Tennessee,67097,0.4755,3.23,940092,6825291,6986082,47,13.7736544859406,1.1558696276396412e-06,47,TN
Texas,76292,0.4765,3.16,4005417,29016925,29640343,48,13.80372661817198,2.665286295775997e-07,48,TX
Utah,91750,0.4277,4.16,280516,3278204,3331187,49,8.557002553837407,3.1220102624079646e-06,49,UT
Vermont,78024,0.4522,3.52,63902,622390,645254,50,10.267195809701313,1.3638040213621303e-05,50,VT
Virginia,90974,0.4716,3.16,834866,8413302,8657499,51,9.923166908783259,9.125037149874346e-07,51,VA
Washington,94952,0.466,3.33,753455,7606327,7740984,53,9.905635137695237,1.0754446721502073e-06,53,WA
West Virginia,57917,0.4697,3.13,287660,1728580,1784462,54,16.64140508394173,4.38507516551207e-06,54,WV
Wisconsin,75670,0.4434,3.77,609003,5757334,5892023,55,10.577864685286627,1.5996203680807084e-06,55,WI
Wyoming,74815,0.4483,3.55,60704,565918,579761,56,10.72664237575055,1.5308032102883773e-05,56,WY
Puerto Rico,25096,0.546,1.73,1340637,3226312,3254885,72,41.55323477704574,1.3287719842636529e-06,72,PR
